Gene,liver.logFC,liver.adj.P.Val,liver.status,kidney.logFC,kidney.adj.P.Val,kidney.status,heart.logFC,heart.adj.P.Val,heart.status,lung.logFC,lung.adj.P.Val,lung.status
FCGR1A,0.62180439764029,3.58514723315477e-25,upregulated,0.536802857142858,1.7561168954427e-25,upregulated,0.665412371134024,7.57042860180299e-13,upregulated,0.582803923486154,6.65331382702746e-24,upregulated
MSR1,0.687508247606972,3.26829043568089e-21,upregulated,0.677140317460315,8.93903742176035e-15,upregulated,0.635042955326458,0.000327601135004494,upregulated,0.774984448616979,3.08483276189199e-17,upregulated
GBP1,0.960985081175952,1.73294681241075e-17,upregulated,1.71278628571428,4.66225665348348e-46,upregulated,2.26518556701031,8.47154884708306e-24,upregulated,0.970031622594274,1.3529895658227e-13,upregulated
STAT1,0.924215612528471,1.76769988771661e-16,upregulated,1.07940952380951,1.60352250254325e-27,upregulated,1.56179675994109,8.9573075607825e-19,upregulated,0.911249234414468,9.66158135250445e-16,upregulated
CXCL11,1.56296694456633,1.31543098020316e-15,upregulated,3.18437714285715,8.03744326237473e-54,upregulated,3.79237113402062,1.89726323403283e-23,upregulated,1.98805160903354,1.26221002376116e-13,upregulated
ENTPD1,0.422565818341376,1.75838694410705e-14,upregulated,0.640628571428574,1.36622514441599e-22,upregulated,0.563195876288662,6.42706056894729e-10,upregulated,0.449346835393523,4.96260934088941e-11,upregulated
CSF2RA,0.454791758081027,4.31784060376579e-14,upregulated,0.804494285714284,6.12376251208572e-20,upregulated,0.969117268041237,4.83742717199777e-15,upregulated,0.812003794398375,2.74752912377932e-28,upregulated
TRAF5,0.352608234605822,1.08677836977306e-09,upregulated,0.410342857142857,3.30259290355774e-13,upregulated,0.565502577319587,4.82125495016443e-09,upregulated,0.310142505085278,1.41659201760794e-10,upregulated
APOL3,0.677050850762997,1.36659231683513e-09,upregulated,0.887710476190479,4.31783961403502e-45,upregulated,0.772792096219924,8.49645246063977e-17,upregulated,0.646937620612322,4.71122316958488e-17,upregulated
HLA-F,0.380265321047244,4.25672868427959e-09,upregulated,0.778709714285706,1.13048626034317e-50,upregulated,0.718505154639174,9.61175460598558e-21,upregulated,0.579404983570647,3.67152475654323e-21,upregulated
CXCL9,1.18558358929355,1.37967487193706e-08,upregulated,3.11842285714286,3.50960476613125e-50,upregulated,3.6084793814433,1.24296792848563e-22,upregulated,2.07093060553903,1.20118312175479e-14,upregulated
HCP5,0.401624250402219,2.13260631875517e-08,upregulated,0.896622857142852,4.41308876450005e-43,upregulated,1.05627577319587,7.09640768681617e-20,upregulated,0.56222089657331,3.39276494227467e-15,upregulated
IRF8,0.342248305787135,2.22775551181754e-08,upregulated,0.998678095238093,1.42863229897763e-26,upregulated,1.48079037800687,5.90583433835072e-21,upregulated,1.16646265581808,3.70796153735566e-36,upregulated
RUNX3,0.103347411145235,0.05183216740335,non-significant,1.00074285714286,2.3004527096335e-36,upregulated,0.954632731958765,3.03886009179436e-23,upregulated,0.444648079330312,2.58669532429099e-16,upregulated
PRF1,0.0738752376773446,0.270461872926628,non-significant,0.870725714285713,2.86857984385125e-50,upregulated,0.921417525773192,4.96817103561618e-23,upregulated,0.78985612580191,1.45995675182485e-27,upregulated
EOMES,-0.0771234947101558,0.310000388750818,non-significant,1.08665142857143,7.03388245821082e-37,upregulated,0.888423539518899,6.18543010075963e-19,upregulated,0.813611980389085,2.12170269224185e-33,upregulated
KLRD1,-0.0707457322551654,0.343085248269497,non-significant,1.38286040816327,4.13618301349916e-53,upregulated,1.37398748159057,1.89493142560076e-25,upregulated,0.856394986252988,2.07621903485817e-28,upregulated
NKG7,-0.0495100190141899,0.555525222623209,non-significant,1.04881142857143,1.62270068545434e-40,upregulated,1.17121134020618,2.34258622357281e-21,upregulated,0.881667501173524,2.85977146801202e-33,upregulated
SAMD3,0.0145719370094106,0.833661387044744,non-significant,0.963874285714286,3.47859151686019e-33,upregulated,1.03470790378007,5.29640823985021e-23,upregulated,0.786040577895997,4.42555849738055e-33,upregulated
CCL5,-0.022992053044705,0.855515905871763,non-significant,1.58901333333334,1.61416005959005e-36,upregulated,1.85217353951889,8.77270476588036e-18,upregulated,1.27904819277109,3.40984297135895e-30,upregulated
