Gene,liver_module,heart_module,kidney_module
MSN,2,3,
EMP3,1,0,1
NCF4,1,0,1
GBP5,6,2,4
EPSTI1,6,2,4
GZMB,,4,2
CALU,2,,3
SIGLEC1,,0,1
BTK,0,,1
TUBA1A,1,,3
HLA-DRA,0,2,4
HK1,1,,3
KLRB1,,4,2
RGS19,0,1,1
DUSP2,,1,2
ARL4C,0,4,1
SLAMF8,,1,1
P2RY13,,1,2
TLR8,0,1,1
CD69,,4,2
CD48,5,1,2
IFI44,6,,4
PEA15,1,,3
LYN,0,0,1
HLA-DOA,0,2,4
PTPRC,0,1,2
SAMD3,5,4,2
RNF213,6,2,1
CXorf21,0,1,1
FASLG,5,4,
TMSB10,0,0,3
TRAT1,5,4,2
NELL2,,4,2
SIRPG,,4,2
COTL1,0,1,
TLR2,1,0,1
CD96,5,4,2
IFIH1,6,2,4
MS4A4A,,0,1
TMEM123,,3,3
BTN3A2,6,2,4
TBC1D10C,5,4,2
LTB,,4,2
IKZF1,5,1,2
RASSF2,,0,1
AOAH,0,1,1
IFIT2,6,2,4
EFHD2,,1,1
SYK,0,0,
AKNA,,1,2
TMEM87B,2,,3
STK17B,0,1,2
FPR3,1,0,1
ARHGAP25,,1,2
LPCAT1,1,,3
CYBB,0,0,1
FAR1,1,,3
LILRB1,0,,1
SNHG12,,0,3
GZMA,5,4,2
HAPLN3,,2,1
ARPC2,1,0,
GNLY,,4,2
SLC38A6,1,0,
CCDC109B,1,0,1
HLA-DPB1,0,2,2
C1QB,0,0,1
FCGR1B,1,,1
TNFAIP8L2,0,1,1
ITGA4,0,1,2
TNFAIP3,1,2,1
IFIT3,6,2,4
PLEKHO1,0,,1
GPR34,,0,1
CD247,5,4,2
IL7R,,4,2
ST8SIA4,0,,1
DGKA,,4,2
CCDC112,2,,3
NNMT,,0,3
LAPTM5,1,0,1
IRF4,,4,2
TNFRSF1B,,2,1
CXCL10,6,2,4
ANXA1,1,0,1
TESPA1,5,4,
HLA-A,6,2,
RSAD2,6,,4
SOAT1,1,0,3
CD68,0,0,
MYO5A,1,0,3
S100A11,1,0,3
CMTM7,1,0,
TLR4,,0,1
CELF2,0,,1
CD3D,5,4,2
PTAFR,0,1,
PARP8,1,,1
NECAP2,,0,1
GLIPR1,1,0,1
LCK,5,4,2
FCER1G,0,0,1
SAMD9,6,2,1
IFI16,1,2,1
SWAP70,1,,3
PSMB9,6,2,4
GIMAP7,0,,1
CST7,5,4,2
DOCK2,0,1,1
SLC7A7,0,0,
NLRC5,6,2,2
LY86,0,0,1
PSME2,,2,4
ITK,5,4,2
DNMT1,2,2,1
GPSM3,0,1,1
FYB,0,1,2
MARCKS,1,,3
GIMAP1,0,,1
LILRB4,0,0,1
GNB4,1,,1
ACTR2,2,3,
CD300A,0,1,1
PLAC8,,4,2
LY96,1,0,1
EMB,,0,1
DOCK11,1,0,3
RASGRP1,5,4,
HLA-DMA,0,0,1
SEPT1,5,4,
LYZ,,1,1
PYHIN1,,4,2
ITGB2,0,0,1
MS4A6A,,0,1
NAP1L1,1,,3
GZMK,5,4,2
EPB41L3,0,0,
CARD16,0,2,1
IRF8,0,1,2
IGSF6,,0,1
WARS,6,,4
NFKBIE,0,1,
ALOX5AP,,0,1
SLAMF7,5,4,2
CD44,0,0,1
SELPLG,0,1,1
ACTB,2,3,
FOLR2,0,0,1
LILRB2,0,0,1
FCGR3A,0,0,1
CCR7,,4,2
BIRC3,1,1,2
CAP1,2,3,3
FLI1,0,,1
UBE2L6,6,2,4
MS4A7,0,0,1
LAT2,,1,1
ELF4,0,1,1
YWHAH,2,3,3
PYCARD,0,0,1
RNASET2,0,0,1
RASAL3,,4,2
ARPC5,2,3,1
CD74,0,2,4
MAN2B1,,0,1
FCN1,,1,1
GZMH,,4,2
RHOA,2,3,
RUNX3,5,4,2
PARP12,6,2,4
PLEK,0,0,1
CASP1,0,2,1
HLA-DRB1,0,2,4
ISG20,6,2,2
ASAP1,1,,3
FAM129A,1,,1
C3AR1,1,0,1
CD40,,0,1
KLRD1,5,4,2
ESYT1,,0,3
ALOX5,0,0,1
CD2,5,4,2
ARHGAP9,,1,2
CLIC1,1,0,3
DRAM1,1,0,
SH3BGRL3,1,0,1
IRF1,6,2,4
RGS10,0,0,1
SYTL1,,4,2
LST1,0,1,1
CD14,,0,1
MCOLN2,5,4,
IL16,,4,2
DCK,,3,3
MARCH1,0,0,
PTPN7,,4,2
PSME1,,2,4
CSF2RA,1,0,1
SLAMF1,,4,2
RFX5,6,2,
ADCY7,0,0,1
CASP4,1,0,1
PRF1,5,4,2
TRAF5,0,1,1
PARP9,,2,4
FAM26F,6,1,1
FXYD5,,0,1
CD163,0,0,1
HCP5,6,2,4
IL18,1,0,
EMILIN2,1,,1
SLA,1,1,2
DOCK8,0,1,
MNDA,,0,1
CCL5,5,4,2
CD86,0,1,1
LCP1,0,1,1
SP110,,2,1
OSBPL3,0,1,
CXCL9,6,2,4
SCIMP,0,1,
AMICA1,,1,2
FNBP1,0,2,1
BTLA,,4,2
NMI,6,2,1
GPR183,,1,1
FAM49B,1,3,1
PLAUR,1,0,
CORO1A,0,1,2
DDX58,,2,4
TLR7,0,0,1
C1QA,0,0,1
CYTIP,0,1,2
IL10RA,,1,1
CSF2RB,0,1,1
FGL2,0,2,
SLFN11,1,,1
TIMP1,1,0,3
TMC8,,4,2
BTN3A3,6,2,4
LCP2,0,0,1
TNFAIP8,1,,1
PIK3R5,0,1,1
WIPF1,0,0,2
C1RL,,0,3
AIM2,0,1,2
CMPK2,6,,4
IFITM1,,2,1
CNPY3,,0,3
DEF6,5,1,2
SASH3,0,1,2
SAMSN1,1,0,1
BATF,0,,1
PTPN22,5,1,2
IQGAP1,1,3,3
RTP4,6,2,4
NABP1,1,0,
RAP2B,1,0,1
CXCL16,,0,3
FCRL3,5,4,
PREX1,1,1,1
CSF1R,,0,1
HLA-E,6,2,4
NAGK,0,0,1
APOBEC3G,5,4,2
ANXA2,2,3,3
IFNGR1,2,,3
SDCBP,2,,3
GPR171,5,4,2
MLKL,1,2,1
VAV1,0,1,1
PSMB8,6,2,4
AIF1,0,0,1
RAB31,1,0,1
HCST,0,1,1
ARHGAP30,0,1,2
CD53,0,0,1
P2RY10,,4,2
GIMAP4,0,,1
CD72,0,,1
NKG7,5,4,2
CLEC2B,,0,1
GBP2,,2,1
KLRC1,,4,2
SAMD9L,0,2,4
RHOG,,0,1
CXCL11,6,2,4
GBP4,6,2,4
OAS1,6,2,
APOL1,,2,4
BCL2A1,1,1,1
ARHGDIB,0,0,1
RHOH,5,4,2
PILRA,0,1,1
ATP6V1B2,2,3,
TRANK1,,2,1
CD37,5,1,2
CD52,0,1,2
MAP3K8,1,,1
BTN3A1,6,2,4
ISG15,6,2,4
TRIM21,6,2,
C1QC,0,0,1
CLEC4A,0,0,1
TAP1,6,2,4
TFEC,0,0,
RAB8B,1,0,
MX1,6,,4
CD38,0,1,2
RNF149,,3,3
GPR65,0,1,1
SRGN,1,0,1
SEL1L3,0,1,
VSIG4,0,0,1
CAPZA1,2,3,3
THEMIS,5,4,2
MPEG1,0,0,1
IL2RB,,4,2
APOL3,6,2,4
RAB27A,,2,1
TAGAP,,1,2
CLEC7A,0,1,1
SELL,,1,2
STX11,0,,1
RARRES3,6,2,
DCLRE1C,,2,1
HLA-DQA1,,2,4
PIK3CG,5,4,1
CLEC2D,5,,2
MYO1F,0,1,1
ANXA5,2,3,3
LAX1,,4,2
ACAP1,5,,2
CCR2,,1,1
ICAM1,0,2,1
CYBA,0,0,
IFI30,1,0,1
LPXN,,1,2
ADA,0,,1
SH3BGRL,1,0,
NOD2,,2,1
TCIRG1,,0,1
TYROBP,0,0,1
CXCR6,5,4,2
CSTA,,0,1
CORO1C,2,3,
RAC2,0,1,2
CTSS,0,0,1
PTPN6,0,1,1
FERMT3,0,0,1
MSR1,0,0,1
BCL11B,5,4,2
LAT,5,4,
NSMAF,1,,3
JAK2,0,,1
IDO1,5,2,4
MTHFD2,1,,1
EVI2B,0,1,1
IL10RB,,0,3
TBX21,,4,2
GCNT1,,0,1
HLA-DOB,,4,2
EOMES,5,4,2
ITGAM,,0,1
CRLF3,0,3,1
ARHGAP15,0,0,2
FCGR1A,1,0,1
CD6,,4,2
TIMP2,1,,1
EVI2A,1,0,1
HCLS1,,0,1
IMPDH1,1,,1
NLRC3,5,4,2
SAMHD1,,0,1
SP140L,,2,1
CD84,1,1,1
ANXA2P2,2,3,3
IL2RG,5,4,2
TAP2,,2,4
LAIR1,1,0,1
TRIM22,6,2,1
ADRBK2,1,,1
CD27,5,4,2
GMFG,0,0,1
SLC15A3,0,,1
FAM65B,,1,2
CTSC,0,0,
PTPRE,0,,1
IFI6,6,,4
PARP14,,2,4
CRTAM,5,4,2
DOCK10,0,1,2
TRAF3IP3,5,4,2
ADGRE5,0,0,
OAS2,6,2,4
BASP1,,0,3
ARAP2,,0,1
RP2,,3,3
HVCN1,0,,1
BAZ1A,,2,1
RGS18,0,,1
ARPC1B,1,0,
YEATS2,2,,3
IRF9,6,2,
WDFY4,0,1,2
CLEC10A,,1,2
RNASE6,1,0,1
GPR18,5,4,2
DDX60,6,2,4
RECQL,2,,3
IFI44L,6,,4
TNFSF13B,0,2,1
DAPP1,0,1,2
HLA-B,6,2,4
TIGIT,,4,2
STK10,,1,1
DOK2,0,,1
MYOF,1,,3
DTX3L,,2,1
CD8A,5,4,2
MOB3A,0,0,
HLA-DPA1,0,2,4
HLA-DMB,0,0,1
CMTM3,1,0,3
HAVCR2,0,0,
IFI35,6,2,
NCF2,1,0,1
HCK,0,0,1
GBP1,6,2,4
ACTR3,2,3,3
GIMAP2,,2,1
SH2D1A,5,4,2
HMHA1,,1,2
GLIPR2,1,0,1
CCR5,0,4,2
IL23A,5,4,2
PPT1,0,3,3
C1orf162,0,1,1
STK4,,1,2
TMSB4X,0,0,1
PRKCB,0,1,1
VIM,1,3,3
S100A4,1,,3
ITGAL,5,4,2
PLEKHO2,1,0,1
ZAP70,,4,2
HLA-F,6,2,4
KLHL6,1,1,2
BIN2,0,1,2
ENTPD1,1,0,1
TLR1,,0,1
STAT1,6,2,4
